stars;title;txt
3.0;Turbo;Amusante animatiefilm over een slak met raceambities.
2.5;Zarafa;De ambitieuze makers van deze prachtig uitgevoerde animatiefilm nemen wel erg veel hooi op hun vork. Dat kan een giraf al nauwelijks weg krijgen, laat staan de jeugdige doelgroep.
2.5;De Sneeuwkoningin;Deze Russische animatiefilm gebaseerd op het sprookje van Hans Christian Andersen mist een eigen smoel. Helemaal verloren tijd en moeite is hij echter niet.
3.0;Dummy Jim;Charmante en creatieve interpretatie van het verhaal van de Schot James Duthie die met zijn fiets van Schotland naar de poolcirkel fietste.
5.0;Gravity;Houston, we have a masterpiece.
3.5;Don Jon;Joseph Gordon-Levitt is regisseur, schrijver én hoofdrolspeler van een geslaagd komisch drama over pornoverslaving, relaties en onrealistische verwachtingen.
3.5;Chez Nous;De Nederlandse Mission Impossible in een roze sausje.
3.5;Rus;Ron Howard komt weer een beetje terug in vorm met dit racedrama over de rivaliteit tussen coureurs Niki Lauda en James Hunt. Visueel is het een ongekend spektakel.
3.0;Michael Kohlhaas;Een jaar na Jagten krijgt Mads Mikkelsen opnieuw een hoop onrecht te verduren, maar dit keer slaat hij wél terug.
3.0;"Jasper &amp; Julia en de Dappere Ridders";Aardige, maar weinig originele animatiefilm.
1.5;Sinterklaas en de Pepernoten Chaos;Wie zoet is krijgt lekkers, het laatste Sinterklaasavontuur van Martijn van Nellestijn de roe.
3.0;Hoe Duur Was de Suiker;Groots opgezette productie oogt fraai, maar het vriendschapsdrama tussen de twee vrouwelijke hoofdpersonages vraagt om meer verdieping.
3.5; Guns;Washington en Wahlberg zijn goed op dreef in deze buddyfilm vol humor en actie.
4.0;Still Mine;Ontroerende verfilming van waargebeurd verhaal.
2.0;Empire State;De jaren tachtig komen tot leven in deze dramafilm gebaseerd op een waargebeurde roof.
