stars;title;txt
5.0;1900;Een groots en intelligent epos dat zijn weerga in de (Italiaanse) filmgeschiedenis  niet kent.
2.5;L'Ivresse du Pouvoir;Nieuwste film van Claude Chabrol voegt weinig kwalitatiefs toe aan zijn imposante oeuvre.
2.0;Ordinary Man;Een doodnormale man draait door, begaat een moord en gijzelt een vrouw.
4.5;Cars;Zelfs auto's krijgen dankzij het vernuft van de animatiestudio charisma.
3.5;The Break-Up;Een aardige film over de laatste weken van een relatie die naar de knoppen gaat.
4.0;Ik Wil Nooit Beroemd Worden;Schetst de gevolgen van zijn hersenletsel voor Tobias zelf, zijn familie en zijn directe omgeving.
4.5;Vers Le Sud;Vers le Sud windt er geen doekjes om, en dat is te allen tijde te prijzen.
1.5;The Promise;Potsierlijke mislukking.
2.0;16 Blocks;Alsof de jaren negentig nooit hebben plaatsgevonden.
1.5;Man About Town;Oppervlakkige tragikomedie die nooit tragisch wordt en zelden komisch
3.5;Marie Antoinette;Film die gemengde gevoelens opwekt door soms geforceerde stijlkeuzes.
2.5;The Omen;Bijna exact gelijk aan het origineel uit 1976 maar schiet tekort.
4.5;The Road to Guantanamo;The Road to Guantanamo Bay is een indringend docudrama waarin archiefbeelden, reconstructies en interviews met de betrokkenen op meesterlijke wijze worden verweven.
3.0;Take The Lead;Charmante dansleraar Antonio Banderas leert een stel probleemkinderen van een middelbare school in New York stijldansen en op zichzelf te vertrouwen.
2.0;American Dreamz;Overdrijven is ook een kunst en die kunst verstaat Dennis Quaid in zijn Bush-parodie dusdanig slecht dat het nog bijna medelijden met het gewraakte staatshoofd oproept.
