stars;title;txt
3.0;That Sugar Film;Luchtige en informatieve documentaire die net iets te veel op een bekend gegeven hamert.
2.0;Rebels;Een groep schoolverlaters moet aan een baan geholpen worden middels een cursus. Deze Noorse documentaire verschaft weinig nieuwe inzichten in de probleemjeugd.
2.5;Angry Birds;Oogstrelend doch pijnlijk ongrappig. Best tof voor de kleintjes maar een feest van irritatie voor animatiefans.
3.5;Money Monster;Thriller met bij vlagen maffe George Clooney probeert te veel.
3.5;Midnight Special;Onconventionele scifi-thriller over een jochie met bijzondere gaven. Het begint klein en arthouseachtig en fietst heerlijk overal tussendoor.
3.5;Eye in the Sky;Sterke thriller over een aloud moreel dilemma: is het doden van één onschuldige verantwoord als je daarmee méér levens kan redden
2.0;The Sea of Trees;Zelfmoord of geen zelfmoord, dat is de vraag.
4.0;Truman;Ontroerend en dialoogsterk drama over vriendschap en de voorbereiding op de dood.
2.0;Un Homme à la Hauteur;Alexandre is klein van stuk, maar heeft een enorm charisma. Een tikkeltje flauwe Franse romkom over liefde en (gebrek aan) lengte.
4.0;"Men &amp; Chicken";De nieuwe Anders Thomas Jensen puilt uit van de absurditeiten, smerigheid en contactgestoorde gekken. Heerlijk onconventioneel en raar met een diepere boodschap.
3.5;Bad Neighbours ;Geslaagd vervolg op Bad Neighbours is eigenlijk nog leuker dan het origineel.
4.0;Louis Theroux: My Scientology Movie;De wereld van de Scientology bezien vanuit het perspectief van Louis Theroux. Hij kiest een gewaagde aanpak om zijn onderzoek vorm te geven.
2.5;Bastille Day;Het verrassendste aan dit zoveelste in Parijs gesitueerde tussendoortje met een rebelse CIA-agent, is dat Luc Besson er niet bij betrokken is.
3.5;Quand on a 17 ans;Jonge haat en liefde in de Franse Alpen.
2.0;Dégradé;Een schoonheidssalon in de Gazastrook is het toneel van geroddel en beslommeringen van een groep vrouwen. De explosieve buitenwereld wil niet echt doordringen.
