stars;title;txt
4.5;Sicario;Villeneuve schiet opnieuw met scherp.
2.5;The Visit: An Alien Encounter;Een originele invalshoek. Wat doen we als we kennismaken met een buitenaardse beschaving? Geleerden en politici gaan er bloedserieus op in.
3.0;LChaim!  To Life!;De gruwelen van de Tweede Wereldoorlog kunnen zelfs doorwerken in naoorlogse generaties.
3.5;Pan;Zo mooi gemaakt dat het enigszins ongeïnspireerde verhaal nauwelijks stoort.
2.5;Hotel Transylvania ;Dracula is terug bij af in dit wat onderontwikkelde vervolg.
1.5;"Keet &amp; Koen en de Speurtocht Naar Bassie en Adriaan";Het definitieve afscheid van Bassie en Adriaan is een flinke deceptie. Hun opvolgers zullen het niet zo lang volhouden.
4.0;The Martian;Matt Damon schittert als een Robinson Crusoe in de kosmos in de nieuwe spektakelfilm van Ridley Scott.
4.0;Mustang;Over vijf ongetemde meiden vol vechtlust tegen onderdrukking.
3.5;J. Kessels;Wild, vervreemdend, vet aangezet. Het zit allemaal op het randje, maar dat maakt deze boekverfilming ook zo vermakelijk.
2.0;Journey to the Shore;Yusuke is zo dood als een pier, maar staat op een avond in de keuken van zijn vrouw. Samen gaan ze op reis naar de kust, waar ze de afgelopen drie jaar reconstrueren.
3.0;De Sneeuwkoningin ;Een slap aftreksel van Frozen? Deze animatiefilm is beter dan je op het eerste gezicht zou denken.
3.0;The Transporter Refueled;Zeg maar dag tegen Jason Statham en verwelkom Ed Skrein als uw nieuwe Transporter.
3.5;Holland: Natuur in de Delta;Mooie beelden bewijzen dat we ook in Nederland bijzondere natuur hebben.
3.5;The Intern;Gepensioneerde Robert De Niro gaat stage lopen bij carrièrevrouw Anne Hathaway in aangename feelgoodfilm van Nancy Meyers.
3.5;Paradise Trips;Mario Donckers is een nukkige buschauffeur die voor zijn pensioen een laatste klus accepteert. Gezellig met zijn zoon waarmee hij het contact heeft verbroken naar een hippiefestival in Kroatië.
