stars;title;txt
2.0;The Lake House;Bloedserieus drama dat onsuccesvol een poging onderneemt wetenschappelijke fictie te combineren met emoties.
1.0;Little Man;]Zwakke, enorm flauwe komedie over een criminele lilliputter die zich voordoet als baby om een gestolen diamant terug te krijgen.
0.5;De Celestijnse Belofte;Laat De Celestijnse Belofte in hemelsnaam links liggen.
4.0;Hard Candy;Sterke, moreel ambigue thriller waarin het steeds moeilijker wordt om als kijker een kant te kiezen voor één van de twee hoofdpersonen.
4.0;Pirates of the Caribbean: Dead Man's Chest;Misschien niet zo fris en origineel meer als de eerste film, maar nog altijd erg leuk om naar te kijken.
2.0;Just My Luck;Twee mijlpalen uit de filmgeschiedenis in één film, die eigenlijk alleen geschikt is als cadeau voor je kleine nichtje.
4.0;Een Ander Zijn Geluk;Een stevig drama verpakt als surrealistische thriller.
3.0;She's the Man;Aardig niemendalletje over een meisje dat zo graag wil voetballen dat ze zich voordoet als haar broer.
3.5;Terkel in de Shit;Cynische komedie in 3D-animatievorm, die soms iets te ver doorslaat maar toch best leuk is.
2.5;Tapas;Een zomers niemendalletje over een aantal levens die elkaar kruisen in een volksbuurt van Barcelona.
3.0;Over the Hedge;Een aardig animatietussendoortje dat niet zoveel voorstelt en niet grappig genoeg is.
5.0;United 93;Zeldzaam ijzingwekkende ervaring.
2.0;Tara Road;Slappe verfilming van de gelijknamige, wereldwijde bestseller van de Ierse schrijfster Maeve Binchy over de woningruil van een Amerikaanse en een Ierse vrouw.
4.0;Slither;Een effectieve ode aan de horrorfilm uit de jaren tachtig.
2.0;Ask the Dust;Gezapig liefdesdrama dat nooit de passie heeft die het pretendeert te hebben.
