stars;title;txt
3.0;3:10 to Yuma;Een ouderwetse western, zoals ze niet vaak meer worden gemaakt.
1.0;Mirrors;Er is geen ziel, geen noodzaak, alleen maar conventie en een kille werksfeer.
2.5;Blind Date;Theo van Gogh: beter in het Amerikaans, of toch te Hollands voor vertaling
3.5;Secret Sunshine;Al met al weet Lee Chang Dong een vrij overtuigend portret neer te zetten van een alleenstaande vrouw in een nieuwe stad.
2.0;Wanted;Wanted: leuk, maar moreel verwerpelijk.
4.0;Where in the World is Osama Bin Laden;Overwegend sterke documentaire.
3.0;Bienvenue Chez Lez Ch'tis;Het ergste dat je een Fransman uit het Zuiden aan kan doen? Hem verhuizen naar het noorden.
1.5;Deception;Langdradige film die niet interessant is.
2.5;Bangkok Dangerous;Remake van de gelijknamige actiefilm uit 1999.
2.0;Journey to the Center of the Eart;Brendan Fraser en Josh Hutcherson maken een driedimensionale tocht door het centrum van de aarde.
4.0;Estômago;Koken is macht.als je de juiste recepten kent.
1.5;The Accidental Husband;Leuk, maar mager uitgevoerd idee.
2.5;Elegy;Weer een Philip Roth-verfilming. Weer een mislukking
2.5;Caos Calmo;Een bescheiden maar soms aangrijpende film over rouw.
2.0;The Forbidden Kingdom;De eerste film ooit met zowel Jet Li als Jackie Chan levert niet het verwachte vuurwerk op.
